url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,Fargo,movie,"Crime, Thriller",1996,tt0116282,8.1,738608,"AG, BA, BB, BG, BS, CZ, HN, HR, HU, MD, ME, MK, NI, PL, RO, SI, SK, TT"
,Underworld,movie,"Action, Fantasy, Thriller",2003,tt0320691,7,289447,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
,"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2956023,"AD, AR, BE, BO, BR, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NO, PA, PE, PT, PY, SE, SV, TC, UY, VE"
,"Strange Days",movie,"Crime, Drama, Sci-Fi",1995,tt0114558,7.2,79670,"AG, BB, BS, NI, TT"
,Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,616338,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
,"Desert Hearts",movie,"Drama, Romance",1985,tt0089015,7.1,7605,"AG, BB, BS, HN, NI, RS, TT, US"
,"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,271918,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,372367,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
,"Ocean's Eleven",movie,"Comedy, Crime, Music",1960,tt0054135,6.5,25704,"AG, BB, BS, NI, TT"
,"Rio Bravo",movie,Western,1959,tt0053221,8,69441,"BE, FR, MC"
,"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,29839,"AG, BB, BS, HN, NI, TT, US"
,"Broken Flowers",movie,"Comedy, Drama, Mystery",2005,tt0412019,7.1,107675,PL
,"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,442167,"DK, FI, NO, SE"
,Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,127514,"AD, AG, BB, BE, BS, BZ, DO, EC, ES, FR, JM, LC, MC, NI, NL, PA, PT, PY, TC, TT, VE"
,"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,494125,"AD, AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
,"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146003,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
,"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1090713,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK, US"
,"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,451015,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346157,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,Magnolia,movie,Drama,1999,tt0175880,8,333038,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,154323,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,67325,"AG, BB, BS, HN, NI, TT, US"
,"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,384971,"AD, AR, BE, BO, BR, BZ, CL, CO, CR, DO, EC, ES, FR, GT, JM, LC, MC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
,"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,373797,"AG, BB, BS, HN, NI, TT, US"
,"People on Sunday",movie,"Comedy, Drama, Romance",1930,tt0020163,7.3,3621,"AG, BB, BS, HN, NI, TT, US"
,"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,484018,"AG, BB, BS, HN, NI, RS, TT, US"
,"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,333921,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
